OSEBuildingID,BuildingType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),PrimaryProperty,LargestPropertyUseTypeGFA,SecondLargest,SecondLargestPropertyUseTypeGFA,ThirdLargest,ThirdLargestPropertyUseTypeGFA,NumberPropertyUseType,harvesine_distance,ENERGYSTARScore,SiteEnergyUse(kBtu)
1,NONRESIDENTIAL,DOWNTOWN,89,1.0,12,0,88434,HOTEL,88434.0,UNDEFINED,,UNDEFINED,,1,0.4967821234009228,60.0,7226362.5
2,NONRESIDENTIAL,DOWNTOWN,20,1.0,11,15064,88502,HOTEL,83880.0,PARKING,15064.0,FOOD AND BEVERAGE,4622.0,3,0.4887262103626452,61.0,8387933.0
3,NONRESIDENTIAL,DOWNTOWN,47,1.0,41,196718,759392,HOTEL,756493.0,UNDEFINED,,UNDEFINED,,1,0.6023784009299225,43.0,72587024.0
5,NONRESIDENTIAL,DOWNTOWN,90,1.0,10,0,61320,HOTEL,61320.0,UNDEFINED,,UNDEFINED,,1,0.5862525898878533,56.0,6794584.0
8,NONRESIDENTIAL,DOWNTOWN,36,1.0,18,62000,113580,HOTEL,123445.0,PARKING,68009.0,ENTERTAINMENT AND LEISURE,0.0,3,0.6508005468558727,75.0,14172606.0
9,NONRESIDENTIAL,DOWNTOWN,17,1.0,2,37198,60090,OTHER SERVICES AND FACILITIES,88830.0,UNDEFINED,,UNDEFINED,,1,0.7231049269405355,,12086616.0
10,NONRESIDENTIAL,DOWNTOWN,90,1.0,11,0,83008,HOTEL,81352.0,UNDEFINED,,UNDEFINED,,1,0.5327330556529828,27.0,5758795.0
11,NONRESIDENTIAL,DOWNTOWN,90,1.0,8,0,102761,OTHER SERVICES AND FACILITIES,102761.0,UNDEFINED,,UNDEFINED,,1,0.4893635664651936,,6298131.5
12,NONRESIDENTIAL,DOWNTOWN,112,1.0,15,0,163984,HOTEL,163984.0,UNDEFINED,,UNDEFINED,,1,0.22643569079493722,43.0,13723820.0
15,NONRESIDENTIAL,DOWNTOWN,47,1.0,11,19279,133884,HOTEL,133884.0,UNDEFINED,,UNDEFINED,,1,0.1081662624009346,30.0,16016644.0
16,NONRESIDENTIAL,DOWNTOWN,18,1.0,25,61161,272015,HOTEL,336640.0,UNDEFINED,,UNDEFINED,,1,0.08300768781548602,36.0,26941110.0
17,NONRESIDENTIAL,DOWNTOWN,88,1.0,9,0,65009,HOTEL,65009.0,UNDEFINED,,UNDEFINED,,1,0.08356671624581152,48.0,6596057.5
18,NONRESIDENTIAL,DOWNTOWN,36,1.0,33,57600,258352,HOTEL,295511.0,PARKING,57600.0,UNDEFINED,,2,0.13049879678345258,58.0,22325364.0
19,NONRESIDENTIAL,DOWNTOWN,94,1.0,11,25200,66990,HOTEL,67390.0,PARKING,25200.0,UNDEFINED,,2,0.09454526899120072,35.0,10750010.0
21,NONRESIDENTIAL,DOWNTOWN,12,1.0,11,57000,355000,OTHER SERVICES AND FACILITIES,364913.0,PARKING,49000.0,OFFICE AND BUSINESS,1074.0,3,0.045179358153245835,,18588860.0
22,NONRESIDENTIAL,DOWNTOWN,86,1.0,6,0,103911,OTHER SERVICES AND FACILITIES,90000.0,OFFICE AND BUSINESS,40000.0,ENTERTAINMENT AND LEISURE,0.0,3,0.060351477923089286,,9956396.0
23,NONRESIDENTIAL,DOWNTOWN,33,1.0,28,85000,331281,HOTEL,348329.0,PARKING,85000.0,UNDEFINED,,2,0.07449669093919782,31.0,33556756.0
24,NONRESIDENTIAL,DOWNTOWN,109,1.0,5,0,57452,MIXED USE,16442.0,FOOD AND BEVERAGE,15505.0,OFFICE AND BUSINESS,9741.0,5,0.0762859936036595,,7606084.5
25,NONRESIDENTIAL,DOWNTOWN,100,1.0,10,0,104352,HOTEL,104352.0,UNDEFINED,,UNDEFINED,,1,0.16863492623850812,39.0,10154608.0
